,Patient,Screen,Keyboard,Above Screen,Frame_total,Name,Patient_Percentage,Screen_Percentage,Keyboard_Percentage,Above Screen_Percentage
0,5795,4236,1571,905,12507,D10_Presential-25-03-2022__08_30_45,0.46334052930359,0.3386903334132886,0.1256096585911889,0.0723594786919325
1,10593,10023,3529,202,24347,D10_Presential-25-03-2022__09_43_03,0.4350844046494435,0.4116728960446872,0.1449459892389206,0.0082967100669487
2,2152,3642,1118,1022,7934,D10_Presential-25-03-2022__10_23_21,0.2712377111167128,0.4590370557096042,0.1409125283589614,0.1288127048147214
3,2939,2318,1008,1253,7518,D10_Presential-25-03-2022__11_27_05,0.3909284384144719,0.3083266826283586,0.1340782122905028,0.1666666666666666
4,3607,3863,4978,1441,13889,D10_Presential-25-03-2022__11_37_55,0.2597019223846209,0.2781337749298005,0.3584131326949384,0.10375116999064
5,8246,5819,1458,797,16320,D10_Presential-25-03-2022__11_56_08,0.5052696078431372,0.3565563725490196,0.0893382352941176,0.0488357843137254
6,3453,4728,3534,1632,13347,D10_Presential-25-03-2022__12_18_10,0.2587098224320072,0.3542369071701506,0.2647786019330186,0.1222746684648235
7,2903,6420,2708,553,12584,D10_Presential-25-03-2022__12_34_50,0.2306897647806738,0.5101716465352829,0.2151938970120788,0.0439446916719644
8,6349,3678,565,61,10653,D10_Presential-25-03-2022__12_53_20,0.5959823523889984,0.345254857786539,0.0530367032760724,0.0057260865483901
9,706,2899,788,523,4916,D10_Presential-25-03-2022__13_31_40,0.1436126932465419,0.5897070789259561,0.1602929210740439,0.1063873067534581
10,10023,6562,10411,1188,28184,D10_Presential-25-03-2022__13_39_06,0.3556273062730627,0.2328271359636673,0.3693939824013624,0.0421515753619074
11,3330,5547,1722,33,10632,D10_Presential-25-03-2022__15_13_05,0.3132054176072235,0.5217268623024831,0.1619638826185101,0.0031038374717832
12,2182,5758,2950,178,11068,D10_Presential-25-03-2022__15_35_28,0.1971449222985182,0.520238525478858,0.2665341525117455,0.0160823997108782
13,1338,1753,1973,187,5251,D10_Presential-25-03-2022__15_58_18,0.2548086078842125,0.3338411731098838,0.3757379546752999,0.0356122643306036
14,3007,5798,2799,67,11671,D10_Presential-25-03-2022__16_05_38,0.2576471596264245,0.4967869077199897,0.2398252077799674,0.0057407248736183
15,1274,2005,1335,76,4690,D10_Presential-25-03-2022__16_22_15,0.2716417910447761,0.4275053304904051,0.2846481876332623,0.0162046908315565
16,4829,5200,2908,89,13026,D10_Presential-25-03-2022__16_35_24,0.3707200982650084,0.3992015968063872,0.2232458160601873,0.006832488868417
17,4190,4488,8463,44,17185,D10_Presential-25-03-2022__16_53_31,0.2438172825138202,0.261157986616235,0.4924643584521385,0.0025603724178062
18,3220,4039,3630,523,11412,D10_Presential-25-03-2022__17_36_01,0.2821591307395724,0.3539256922537679,0.3180862250262881,0.0458289519803715
19,3847,3589,4679,380,12495,D10_Presential-25-03-2022__17_54_29,0.3078831532613045,0.28723489395758306,0.37446978791516605,0.03041216486594638
