,Above Screen,Above Screen_Percentage,Frame_total,Keyboard,Keyboard_Percentage,Left Of Screen,Left Of Screen_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage
0,726.0,0.019726116726442783,36804.0,2190.0,0.059504401695467876,7951.0,0.2160363004021302,D14_Presential-08-04-2022__09_20_48,13506.0,0.3669709814150636,12431.0,0.33776219976089555
1,237.0,0.012698242606086584,18664.0,568.0,0.03043291898842692,4660.0,0.2496785255036434,D14_Presential-08-04-2022__10_04_59,7932.0,0.4249892841834548,5267.0,0.2822010287183883
2,225.0,0.010384934921074495,21666.0,651.0,0.030047078371642208,5670.0,0.2617003600110773,D14_Presential-08-04-2022__10_27_10,9262.0,0.4274900766177421,5858.0,0.270377550078464
3,346.0,0.012720120583802064,27201.0,636.0,0.0233814933274512,4923.0,0.1809859931620161,D14_Presential-08-04-2022__10_52_30,12980.0,0.4771883386640197,8316.0,0.3057240542627109
4,489.0,0.02258556186781211,21651.0,1099.0,0.05075978014872292,5893.0,0.27218142349083185,D14_Presential-08-04-2022__11_24_38,7609.0,0.3514387326220498,6561.0,0.3030345018705833
5,877.0,0.04254183846713558,20615.0,496.0,0.02406015037593985,5436.0,0.2636914867814698,D14_Presential-08-04-2022__11_50_22,7756.0,0.3762308998302207,6050.0,0.2934756245452341
6,1579.0,0.040344422300577436,39138.0,1083.0,0.027671316878736786,10580.0,0.2703255148449077,D14_Presential-08-04-2022__12_15_01,14705.0,0.375721804895498,11191.0,0.2859369410802801
7,2153.0,0.051521968029099266,41788.0,1199.0,0.028692447592610318,12038.0,0.2880731310424045,D14_Presential-08-04-2022__13_00_32,8376.0,0.20044031779458216,18022.0,0.4312721355413037
8,891.0,0.027016373559733173,32980.0,719.0,0.02180109157064888,9292.0,0.28174651303820497,D14_Presential-08-04-2022__13_50_23,13446.0,0.4077016373559733,8632.0,0.2617343844754397
9,327.0,0.00926398096209417,35298.0,467.0,0.013230211343418893,11721.0,0.3320584735679075,D14_Presential-08-04-2022__15_30_18,14125.0,0.4001643152586549,8658.0,0.2452830188679245
10,1959.0,0.054929340511440106,35664.0,276.0,0.007738896366083445,12089.0,0.3389692687303724,D14_Presential-12-04-2022__09_14_07,13598.0,0.38128084342754603,7742.0,0.2170816509645581
11,1706.0,0.06142435371210485,27774.0,467.0,0.016814286742997047,10313.0,0.3713184993159069,D14_Presential-12-04-2022__09_55_34,8605.0,0.30982213581047024,6683.0,0.2406207244185209
12,1479.0,0.07673151750972762,19275.0,67.0,0.0034760051880674448,4197.0,0.2177431906614786,D14_Presential-12-04-2022__10_32_05,6813.0,0.35346303501945525,6719.0,0.3485862516212711
13,1363.0,0.049134823359769285,27740.0,227.0,0.008183129055515501,7432.0,0.26791636625811105,D14_Presential-12-04-2022__10_55_14,10099.0,0.3640591204037491,8619.0,0.3107065609228551
14,1964.0,0.05952777861970721,32993.0,512.0,0.01551844330615585,8911.0,0.27008759433819296,D14_Presential-12-04-2022__11_28_49,8828.0,0.2675719091928591,12778.0,0.3872942745430849
15,2338.0,0.08048746901679978,29048.0,221.0,0.007608096942990913,10943.0,0.3767212889011292,D14_Presential-12-04-2022__12_31_33,7503.0,0.2582966125034426,8043.0,0.2768865326356376
16,774.0,0.03019073994617155,25637.0,332.0,0.012950033155205369,9636.0,0.37586301049264736,D14_Presential-12-04-2022__13_06_31,9142.0,0.35659398525568514,5753.0,0.2244022311502906
17,911.0,0.037909367067537766,24031.0,594.0,0.0247180724897008,5962.0,0.24809620906329324,D14_Presential-12-04-2022__15_33_42,10578.0,0.4401814323165911,5986.0,0.2490949190628771
18,1754.0,0.05381358532245199,32594.0,924.0,0.028348775848315636,12249.0,0.37580536295023625,D14_Presential-12-04-2022__16_02_52,9812.0,0.3010370006749709,7855.0,0.2409952752040253
19,558.0,0.02168337607833994,25734.0,582.0,0.022615994404290043,4809.0,0.18687339706225228,D14_Presential-12-04-2022__16_41_21,14446.0,0.5613585140281341,5339.0,0.20746871842698367
20,1842.0,0.04226515533936029,43582.0,1347.0,0.03090725528888073,15002.0,0.34422467991372585,D14_Presential-12-04-2022__18_20_18,13723.0,0.31487770180349683,11668.0,0.2677252076545363
21,2963.0,0.09189876558526146,32242.0,373.0,0.011568761243099064,8870.0,0.27510700328763726,D14_Presential-12-04-2022__19_12_46,6717.0,0.208330748712859,13319.0,0.4130947211711432
