,Patient,Screen,Keyboard,Above Screen,Frame_total,Name,Patient_Percentage,Screen_Percentage,Keyboard_Percentage,Above Screen_Percentage
0,10784,4547,1863,307,17501,D14_Virtual-01-04-2022__16_22_50,0.6161933603794069,0.259813724930004,0.106451059939432,0.017541854751157
1,14171,6188,1601,250,22210,D14_Virtual-01-04-2022__16_45_22,0.6380459252588924,0.2786132372805043,0.0720846465556055,0.0112561909049977
2,11376,10935,1453,397,24161,D14_Virtual-08-04-2022__16_23_48,0.4708414386821737,0.4525888829104755,0.0601382393112867,0.0164314390960639
3,13568,9801,933,273,24575,D14_Virtual-08-04-2022__16_52_53,0.5521057985757885,0.3988199389623601,0.0379654120040691,0.0111088504577823
4,11596,8585,674,160,21015,D14_Virtual-08-04-2022__17_23_11,0.5517963359505116,0.4085177254342136,0.0320723292886033,0.0076136093266714
5,13961,7257,1121,2102,24441,D14_Virtual-18-03-2022__15_54_25,0.5712123071887403,0.2969191113293237,0.0458655537825784,0.0860030276993576
6,11879,7956,972,1137,21944,D14_Virtual-18-03-2022__16_37_27,0.5413324826831936,0.3625592417061611,0.0442945679912504,0.0518137076193948
7,10359,7644,1787,469,20259,D14_Virtual-18-03-2022__17_04_47,0.5113282985339849,0.3773137864652747,0.088207710153512,0.0231502048472283
8,8618,11471,1723,1336,23148,D14_Virtual-18-03-2022__17_32_41,0.3722999827198894,0.4955503715223777,0.0744340763780888,0.057715569379644
9,6397,5806,2292,117,14612,D14_Virtual-22-04-2022__16_06_40,0.4377908568300027,0.3973446482343279,0.1568573774979469,0.0080071174377224
10,5762,8936,1469,183,16350,D14_Virtual-22-04-2022__16_26_10,0.3524159021406728,0.5465443425076453,0.0898470948012232,0.0111926605504587
11,7961,10181,3537,126,21805,D14_Virtual-22-04-2022__16_46_36,0.3650997477642742,0.4669112588855767,0.1622105021783994,0.0057784911717495
12,13595,7283,2526,38,23442,D14_Virtual-22-04-2022__17_35_01,0.5799419844723146,0.3106816824503028,0.1077553109802917,0.0016210220970906
13,5510,5936,1627,10,13083,D14_Virtual-22-04-2022__18_10_59,0.4211572269357181,0.4537185660781166,0.1243598563020713,0.0007643506840938
14,7238,7050,2923,1194,18405,D14_Virtual-25-02-2022__16_01_36,0.3932627003531649,0.3830480847595762,0.158815539255637,0.0648736756316218
15,5850,11456,4630,388,22324,D14_Virtual-25-02-2022__16_31_30,0.2620498118616735,0.5131696828525354,0.2074001075076151,0.0173803977781759
16,9812,14794,4811,322,29739,D14_Virtual-25-02-2022__17_04_17,0.3299371196072497,0.4974612461750563,0.1617741013483977,0.0108275328692962
17,4425,7000,1065,134,12624,D14_Virtual-25-02-2022__17_39_27,0.3505228136882129,0.5544993662864385,0.0843631178707224,0.0106147021546261
18,9487,11937,6209,224,27857,D14_Virtual-29-04-2022__16_50_31,0.3405607208242093,0.4285098897943066,0.2228883225042179,0.008041066877266
19,5307,5548,1397,36,12288,D14_Virtual-29-04-2022__17_52_13,0.431884765625,0.4514973958333333,0.11368815104166667,0.0029296875
