,Screen,Patient,Keyboard,Above Screen,Frame_total,Name,Screen_Percentage,Patient_Percentage,Keyboard_Percentage,Above Screen_Percentage
0,11409,9886,358,25,21678,D15_Presential-23-03-2022__09_09_15,0.5262939385552172,0.4560383799243472,0.0165144386013469,0.0011532429190884
1,5841,4286,338,5,10470,D15_Presential-23-03-2022__09_34_33,0.5578796561604584,0.409360076408787,0.0322827125119388,0.0004775549188156
2,5765,3769,159,11,9704,D15_Presential-23-03-2022__09_50_14,0.5940849134377576,0.388396537510305,0.0163849958779884,0.0011335531739488
3,2568,4352,104,114,7138,D15_Presential-23-03-2022__10_26_15,0.3597646399551695,0.6096945923227794,0.0145699075371252,0.0159708601849257
4,3904,3602,82,8,7596,D15_Presential-23-03-2022__10_41_25,0.5139547130068457,0.4741969457609268,0.0107951553449183,0.0010531858873091
5,6162,8157,350,45,14714,D15_Presential-23-03-2022__11_09_44,0.418784830773413,0.5543699877667527,0.0237868696479543,0.0030583118118798
6,6065,5205,627,48,11945,D15_Presential-23-03-2022__11_29_52,0.5077438258685643,0.4357471745500209,0.0524905818334031,0.0040184177480117
7,7978,8233,510,89,16810,D15_Presential-23-03-2022__12_04_53,0.4745984533016061,0.489767995240928,0.0303390838786436,0.0052944675788221
8,10656,2947,407,105,14115,D15_Presential-23-03-2022__12_26_24,0.7549415515409139,0.2087849805171803,0.0288345731491321,0.0074388947927736
9,7758,4548,372,227,12905,D15_Presential-23-03-2022__13_16_31,0.6011623401782255,0.3524215420379697,0.0288260364199922,0.0175900813638124
10,5841,5716,304,106,11967,D15_Presential-23-03-2022__13_41_14,0.4880922536976685,0.4776468622043954,0.0254031921116403,0.0088576919862956
11,13904,6689,262,238,21093,D15_Presential-23-03-2022__14_38_43,0.6591760299625468,0.3171194235054283,0.012421182382781,0.0112833641492438
12,10112,4536,1210,78,15936,D15_Presential-23-03-2022__15_14_38,0.6345381526104418,0.2846385542168674,0.0759287148594377,0.004894578313253
13,9500,3702,631,83,13916,D15_Presential-23-03-2022__15_33_30,0.6826674331704513,0.2660247197470538,0.0453434895084794,0.0059643575740155
14,7187,22069,804,154,30214,D15_Presential-23-03-2022__15_50_37,0.2378698616535381,0.7304229827232409,0.0266101807109287,0.0050969749122923
15,6747,8708,152,183,15790,D15_Presential-23-03-2022__16_25_20,0.4272957568081064,0.5514882837238758,0.0096263457884737,0.011589613679544
16,5324,5331,412,264,11331,D15_Presential-23-03-2022__16_44_19,0.4698614420616009,0.4704792163092401,0.0363604271467655,0.0232989144823934
17,10065,6197,695,281,17238,D15_Presential-23-03-2022__17_17_47,0.5838844413505047,0.359496461306416,0.0403179023088525,0.0163011950342267
18,7692,9721,98,325,17836,D15_Presential-23-03-2022__17_43_55,0.4312626149360843,0.5450213052253868,0.0054945054945054,0.0182215743440233
19,5254,3926,326,92,9598,D15_Presential-23-03-2022__18_14_46,0.5474057095228173,0.40904355073973747,0.03396540946030423,0.009585330277141072
