,Screen,Patient,Keyboard,Above Screen,Frame_total,Name,Screen_Percentage,Patient_Percentage,Keyboard_Percentage,Above Screen_Percentage
0,17045,11196,3057,218.0,31516,D16_Virtual-04-05-2022__09_32_48,0.5408364005584465,0.3552481279350171,0.0969983500444218,0.0069171214621144
1,9670,4640,1159,43.0,15512,D16_Virtual-04-05-2022__16_03_54,0.623388344507478,0.2991232594120681,0.0747163486333161,0.0027720474471377
2,2484,10259,341,4.0,13088,D16_Virtual-04-05-2022__16_23_59,0.1897921760391198,0.7838477995110025,0.0260544009779951,0.0003056234718826
3,5872,4845,723,103.0,11543,D16_Virtual-07-04-2022__17_21_31,0.5087065754136706,0.4197349042709867,0.06263536342372,0.0089231568916226
4,1052,3010,713,19.0,4794,D16_Virtual-07-04-2022__19_29_41,0.2194409678765123,0.6278681685440134,0.1487275761368377,0.0039632874426366
5,2822,8354,1367,15.0,12558,D16_Virtual-08-03-2022__18_09_48,0.2247173116738334,0.6652333174072305,0.1088549132027393,0.0011944577161968
6,3580,5685,1088,74.0,10427,D16_Virtual-08-03-2022__18_27_28,0.3433394073079505,0.5452191426105304,0.1043444902656564,0.0070969598158626
7,984,6000,776,,7760,D16_Virtual-14-04-2022__17_01_57,0.1268041237113402,0.7731958762886598,0.1,
8,1417,3408,229,2.0,5056,D16_Virtual-14-04-2022__17_32_53,0.2802610759493671,0.6740506329113924,0.0452927215189873,0.0003955696202531
9,3351,4411,538,24.0,8324,D16_Virtual-15-03-2022__19_16_51,0.4025708793849111,0.5299135031234983,0.0646323882748678,0.0028832292167227
10,1424,3365,189,16.0,4994,D16_Virtual-21-04-2022__19_14_26,0.2851421706047257,0.6738085702843412,0.0378454144973968,0.0032038446135362
11,3989,13509,1862,113.0,19473,D16_Virtual-22-03-2022__18_29_30,0.2048477378934935,0.6937297796949623,0.0956195758229343,0.0058029065886098
12,3649,11572,565,18.0,15804,D16_Virtual-22-03-2022__18_56_19,0.230890913692736,0.7322196912174133,0.0357504429258415,0.0011389521640091
13,3350,5260,773,92.0,9475,D16_Virtual-22-03-2022__19_16_30,0.3535620052770448,0.5551451187335092,0.0815831134564643,0.0097097625329815
14,933,5922,710,35.0,7600,D16_Virtual-23-03-2022__09_33_43,0.1227631578947368,0.7792105263157895,0.0934210526315789,0.0046052631578947
15,4327,6232,672,66.0,11297,D16_Virtual-28-04-2022__18_59_49,0.3830220412498893,0.5516508807648048,0.0594848189784898,0.0058422590068159
16,9674,13197,2769,,25640,D16_Virtual-29-03-2022__17_57_29,0.3773010920436817,0.5147035881435258,0.1079953198127925,
17,5745,23667,1162,23.0,30597,D16_Virtual-29-03-2022__18_29_02,0.1877635062261006,0.7735072065888813,0.0379775795012582,0.0007517076837598
18,6144,8140,1341,18.0,15643,D16_Virtual-29-03-2022__19_04_51,0.3927635364060602,0.5203605446525602,0.0857252445183149,0.0011506744230646
19,5586,6599,1803,7.0,13995,D16_Virtual-30-03-2022__09_46_21,0.3991425509110397,0.47152554483744197,0.12883172561629153,0.0005001786352268668
