,Patient,Screen,Above Screen,Keyboard,Frame_total,Name,Patient_Percentage,Screen_Percentage,Above Screen_Percentage,Keyboard_Percentage
0,4174,2929,528,137,7768,D3_Virtual-02-02-2022__14_52_24,0.5373326467559217,0.3770597322348095,0.0679711637487126,0.0176364572605561
1,1738,2096,250,134,4218,D3_Virtual-02-02-2022__15_01_15,0.4120436225699384,0.4969179706021811,0.0592697961119013,0.0317686107159791
2,2110,2716,577,122,5525,D3_Virtual-02-02-2022__15_16_46,0.3819004524886877,0.4915837104072398,0.1044343891402714,0.0220814479638009
3,2847,1606,657,157,5267,D3_Virtual-02-02-2022__15_26_30,0.5405354091513196,0.3049174102904879,0.1247389405733814,0.029808239984811
4,752,927,104,57,1840,D3_Virtual-02-02-2022__16_47_22,0.408695652173913,0.503804347826087,0.0565217391304347,0.0309782608695652
5,2420,2571,195,222,5408,D3_Virtual-09-02-2022__14_37_51,0.4474852071005917,0.4754068047337278,0.0360576923076923,0.0410502958579881
6,2064,3333,422,307,6126,D3_Virtual-09-02-2022__14_45_15,0.33692458374143,0.5440744368266406,0.06888671237349,0.0501142670584394
7,2219,4163,191,321,6894,D3_Virtual-09-02-2022__15_47_31,0.3218740934145634,0.6038584276182187,0.0277052509428488,0.046562228024369
8,2041,2535,166,248,4990,D3_Virtual-09-02-2022__15_55_19,0.4090180360721442,0.5080160320641283,0.0332665330661322,0.0496993987975951
9,2219,3913,198,327,6657,D3_Virtual-09-02-2022__16_31_25,0.3333333333333333,0.5878023133543638,0.0297431275349256,0.0491212257773771
10,1985,1694,170,93,3942,D3_Virtual-16-02-2022__15_15_19,0.5035514967021817,0.4297311009639776,0.0431253170979198,0.0235920852359208
11,4698,4330,346,224,9598,D3_Virtual-16-02-2022__15_43_01,0.4894769743696603,0.451135653261096,0.0360491769118566,0.0233381954573869
12,5038,3085,523,199,8845,D3_Virtual-16-02-2022__15_55_08,0.5695873374788016,0.3487846240814019,0.0591294516676088,0.0224985867721876
13,2774,4227,127,256,7384,D3_Virtual-23-02-2022__14_50_07,0.3756771397616468,0.5724539544962081,0.0171993499458288,0.0346695557963163
14,3784,3310,180,244,7518,D3_Virtual-23-02-2022__15_02_37,0.5033253524873637,0.4402766693269486,0.0239425379090183,0.0324554402766693
15,3164,4601,199,379,8343,D3_Virtual-23-02-2022__15_12_43,0.3792400815054537,0.5514802828718687,0.0238523312956969,0.0454273043269807
16,2904,2469,121,153,5647,D3_Virtual-23-02-2022__15_23_57,0.5142553568266336,0.4372233044094209,0.021427306534443,0.0270940322295023
17,2708,4027,519,485,7739,D3_Virtual-23-02-2022__15_40_01,0.3499160098203902,0.5203514665977517,0.0670629280268768,0.0626695955549812
18,2371,4395,397,193,7356,D3_Virtual-23-02-2022__15_59_15,0.3223219140837411,0.5974714518760196,0.0539695486677542,0.026237085372485
19,2600,3618,78,260,6556,D3_Virtual-23-02-2022__16_43_10,0.39658328248932273,0.5518608907870652,0.011897498474679682,0.03965832824893228
