,Patient,Screen,Keyboard,Frame_total,Name,Patient_Percentage,Screen_Percentage,Keyboard_Percentage,Above Screen,Above Screen_Percentage
0,3606,3111,388,7105,D4_Presential-08-03-2022__14_31_45,0.5075299085151301,0.4378606615059817,0.0546094299788881,,
1,3953,3958,586,8507,D4_Presential-08-03-2022__14_43_05,0.4646761490537204,0.4652639003173857,0.0688844481015634,10.0,0.0011755025273304
2,601,1624,158,2383,D4_Presential-08-03-2022__14_53_34,0.2522031053294167,0.6814939152328997,0.0663029794376836,,
3,9934,9416,3301,22657,D4_Presential-08-03-2022__14_59_16,0.4384516926336231,0.4155890011916847,0.1456944873549013,6.0,0.0002648188197907
4,4414,4640,2835,11889,D4_Presential-08-03-2022__15_26_46,0.3712675582471192,0.3902767263857347,0.2384557153671461,,
5,6055,8193,3107,17482,D4_Presential-08-03-2022__16_35_59,0.3463562521450635,0.4686534721427754,0.1777256606795561,127.0,0.0072646150326049
6,1686,7007,2241,10953,D4_Presential-08-03-2022__16_57_41,0.1539304300191728,0.6397334063726833,0.2046014790468364,19.0,0.0017346845613074
7,4126,2881,1396,8404,D4_Presential-08-03-2022__17_10_41,0.4909566872917658,0.3428129462160876,0.1661113755354593,1.0,0.0001189909566872
8,5351,11229,1554,18148,D4_Presential-08-03-2022__17_22_21,0.2948534273749173,0.6187458673132026,0.085629270443024,14.0,0.000771434868856
9,8348,5558,1514,15692,D4_Presential-08-03-2022__17_57_32,0.5319908233494774,0.3541932194748917,0.0964822839663522,272.0,0.0173336732092786
10,4266,4052,1676,9994,D4_Presential-08-03-2022__19_33_14,0.4268561136682009,0.4054432659595757,0.1677006203722233,,
11,2019,4857,4409,11289,D4_Presential-15-03-2022__14_23_56,0.1788466648950305,0.4302418283284613,0.3905571795553193,4.0,0.0003543272211887
12,4091,6410,2735,13300,D4_Presential-15-03-2022__14_51_46,0.307593984962406,0.4819548872180451,0.2056390977443609,64.0,0.0048120300751879
13,8848,10401,2018,21410,D4_Presential-15-03-2022__15_13_18,0.4132648295189164,0.4858010275572162,0.0942550210182157,143.0,0.0066791219056515
14,9118,7023,5330,21594,D4_Presential-15-03-2022__15_50_36,0.4222469204408632,0.3252292303417616,0.246827822543299,123.0,0.0056960266740761
15,5091,6926,806,12947,D4_Presential-15-03-2022__16_18_10,0.3932185062176566,0.5349501815092299,0.0622538039700316,124.0,0.0095775083030817
16,5100,6402,2816,14362,D4_Presential-15-03-2022__16_37_32,0.3551037459963793,0.4457596435036903,0.196072970338393,44.0,0.0030636401615373
17,1886,6125,1217,9462,D4_Presential-15-03-2022__17_11_27,0.1993236102303952,0.6473261466920313,0.1286197421264003,234.0,0.0247305009511731
18,2443,5785,710,9240,D4_Presential-15-03-2022__17_22_26,0.2643939393939394,0.6260822510822511,0.0768398268398268,302.0,0.0326839826839826
19,12818,11854,4384,29190,D4_Presential-15-03-2022__17_48_50,0.4391229873244262,0.40609797875984927,0.15018842069201782,134.0,0.004590613223706749
