,Patient,Above Screen,Screen,Keyboard,Frame_total,Name,Patient_Percentage,Above Screen_Percentage,Screen_Percentage,Keyboard_Percentage
0,2616,1403,803,14,4836,D6_Virtual-04-02-2022__09_26_12,0.5409429280397022,0.2901157981803143,0.1660463192721257,0.0028949545078577
1,1922,1904,586,367,4779,D6_Virtual-04-02-2022__09_39_38,0.4021761874869219,0.3984097091441724,0.1226197949361791,0.0767943084327265
2,4492,2718,1203,499,8912,D6_Virtual-04-02-2022__09_45_25,0.5040394973070018,0.3049820466786355,0.1349865350089766,0.055991921005386
3,7414,4079,2352,732,14577,D6_Virtual-04-02-2022__10_05_49,0.5086094532482678,0.2798243808739795,0.1613500720312821,0.0502160938464704
4,4240,75,4252,835,9402,D6_Virtual-11-02-2022__08_32_32,0.4509678791746437,0.0079770261646458,0.452244203360987,0.0888108912997234
5,6911,68,3304,549,10832,D6_Virtual-11-02-2022__08_43_20,0.6380169867060561,0.0062776957163958,0.3050221565731167,0.0506831610044313
6,3378,228,2722,374,6702,D6_Virtual-11-02-2022__09_03_47,0.5040286481647269,0.0340196956132497,0.4061474186809907,0.0558042375410325
7,4154,224,2448,689,7515,D6_Virtual-11-02-2022__09_25_28,0.5527611443779108,0.0298070525615435,0.325748502994012,0.0916833000665336
8,2488,534,3687,745,7454,D6_Virtual-11-02-2022__09_48_02,0.3337805205258921,0.0716393882479205,0.4946337536892943,0.0999463375368929
9,6886,321,4948,839,12994,D6_Virtual-11-02-2022__10_06_57,0.5299368939510544,0.0247037094043404,0.3807911343697091,0.0645682622748961
10,5312,538,4223,503,10576,D6_Virtual-11-02-2022__10_22_01,0.5022692889561271,0.0508698940998487,0.3993003025718608,0.0475605143721633
11,10183,270,2810,463,13726,D6_Virtual-11-02-2022__10_50_07,0.7418767302928748,0.0196706979455048,0.2047209675069211,0.0337316042546991
12,13220,131,1561,450,15362,D6_Virtual-11-02-2022__11_07_09,0.8605650305949746,0.0085275354771514,0.1016143731284989,0.029293060799375
13,3078,416,3907,997,8398,D6_Virtual-11-02-2022__11_33_25,0.3665158371040724,0.0495356037151702,0.4652298166230055,0.1187187425577518
14,6903,574,3602,1038,12117,D6_Virtual-11-02-2022__11_51_10,0.5696954691755385,0.0473714615829,0.2972683007345052,0.0856647685070562
15,5225,385,2851,377,8838,D6_Virtual-11-02-2022__12_06_24,0.5911971034170627,0.0435618918307309,0.3225842950893867,0.0426567096628196
16,3270,327,3382,956,7935,D6_Virtual-11-02-2022__12_35_27,0.4120982986767486,0.0412098298676748,0.4262129804662886,0.1204788909892879
17,2022,274,3237,751,6284,D6_Virtual-11-02-2022__12_44_43,0.3217695735200509,0.0436028007638446,0.5151177593889242,0.1195098663271801
18,4240,123,2052,708,7123,D6_Virtual-11-02-2022__12_57_17,0.595254808367261,0.0172680050540502,0.2880808648041555,0.0993963217745332
19,6105,131,3772,421,10429,D6_Virtual-11-02-2022__13_10_36,0.5853869019081408,0.012561127624892128,0.36168376642055805,0.040368204046409055
