,timestamp,gaze360_res,gaze360_x,gaze360_y
0,0:0:0.00,Keyboard,-0.4970282428878405,2.4504396038429364
1,0:0:0.07,Keyboard,-0.30220791332169544,2.046904709050798
2,0:0:0.13,Keyboard,-0.2010575867376418,1.9172695349694164
3,0:0:0.20,Keyboard,-0.19032681276609548,1.937615102414053
4,0:0:0.27,Keyboard,-0.08303580996282725,1.8106429087012808
5,0:0:0.33,Keyboard,-0.06306365611282387,1.7789247285683432
6,0:0:0.40,Keyboard,-0.13277794608166646,1.8244766841374007
7,0:0:0.47,Keyboard,-0.0661617978716493,1.5116176271131598
8,0:0:0.53,Patient,-0.13186053831068906,1.1455500028655785
9,0:0:0.60,Screen,-0.2368052616700359,0.9302752885873076
10,0:0:0.67,Screen,-0.1908367682497837,0.6261825864898808
11,0:0:0.73,Screen,-0.13848177372786352,0.3858483398223077
12,0:0:0.80,Screen,-0.07903752852198244,0.246671117701663
13,0:0:0.87,Screen,-0.017092317272990813,0.16687224606137532
14,0:0:0.93,Screen,0.03649806192545306,0.0841274094874015
15,0:0:1.00,Screen,0.10629587287830336,-0.01711174899863834
16,0:0:1.07,Screen,0.2948873937320783,-0.17598600175302367
17,0:0:1.13,Patient,0.5671911262017191,-0.3947734666732042
18,0:0:1.20,Patient,0.8977901510358306,-0.6368967944890933
19,0:0:1.27,Patient,1.2848938149381814,-0.944492369840372
20,0:0:1.33,Patient,1.5634619380073866,-1.0464763557350532
21,0:0:1.40,Patient,1.7585280289888887,-1.1938745935570132
22,0:0:1.47,Patient,1.97832673702072,-1.347826156689839
23,0:0:1.53,Patient,2.1222304672733,-1.4826480640611233
24,0:0:1.60,Patient,2.2880599016261254,-1.6831937010094011
25,0:0:1.67,Patient,2.3936002291883725,-2.0414717431600757
26,0:0:1.73,Patient,1.5482748257707302,-1.4228666899979736
27,0:0:1.80,Patient,1.082117784569051,-1.0268541821478798
28,0:0:1.87,Patient,0.7857088798187892,-0.5456495062053447
29,0:0:1.93,Patient,0.5381837451137271,-0.1413412057154947
30,0:0:2.00,Screen,0.4131431768840837,0.20458687948361556
31,0:0:2.07,Screen,0.3819514292185156,0.3569901296795016
32,0:0:2.13,Screen,0.375373955886765,0.4533970779925268
33,0:0:2.20,Screen,0.3924457322448871,0.5371578841676689
34,0:0:2.27,Screen,0.3695097592935433,0.5984887112847195
35,0:0:2.33,Screen,0.31906098760159146,0.56676934758801
36,0:0:2.40,Screen,0.29359597774673224,0.4353490018810601
37,0:0:2.47,Screen,0.2775191521027459,0.23880945730977396
38,0:0:2.53,Screen,0.30074174050419983,0.07064413766512001
39,0:0:2.60,Screen,0.26881320903134104,-0.09050864666905953
40,0:0:2.67,Above Screen,0.20418503443698,-0.2844448698669322
41,0:0:2.73,Above Screen,0.1739190173079626,-0.3838381615554272
42,0:0:2.80,Above Screen,0.15797976163841715,-0.4195959577127679
43,0:0:2.87,Above Screen,0.14249267085538234,-0.43255297818338384
44,0:0:2.93,Above Screen,0.11572158424429595,-0.44490370324184186
45,0:0:3.00,Above Screen,0.07659841530734664,-0.44946498236732896
46,0:0:3.07,Above Screen,0.05537621785936348,-0.4309330431051602
47,0:0:3.13,Above Screen,0.04452612774353769,-0.3785872119222079
48,0:0:3.20,Above Screen,-0.02429045877787553,-0.3602313460136497
49,0:0:3.27,Above Screen,-0.059405806090553126,-0.3396526748519137
50,0:0:3.33,Above Screen,-0.09471988542077854,-0.3422700060009262
51,0:0:3.40,Above Screen,-0.12105203590298674,-0.33641813779898216
52,0:0:3.47,Above Screen,-0.13320151582245396,-0.33567908560101073
53,0:0:3.53,Above Screen,-0.09510074780100414,-0.3611878467864147
54,0:0:3.60,Above Screen,-0.14805302809406765,-0.4713007841289229
55,0:0:3.67,Above Screen,-0.1755020480238159,-0.6237291868259123
56,0:0:3.73,Above Screen,-0.18610512605252025,-0.7623785550630786
57,0:0:3.80,Above Screen,-0.20721999539599464,-0.830971087585044
58,0:0:3.87,Above Screen,-0.2379760714902185,-0.8777338595048402
59,0:0:3.93,Above Screen,-0.23531697935481405,-0.8209371487576862
60,0:0:4.00,Above Screen,-0.29646285235921793,-0.7501745329047568
61,0:0:4.07,Above Screen,-0.31764672912041225,-0.6795735490429087
62,0:0:4.13,Above Screen,-0.35003935272011494,-0.6541871261897169
63,0:0:4.20,Above Screen,-0.3808056589291883,-0.6621848210413112
64,0:0:4.27,Above Screen,-0.3221486110738926,-0.6378320661901107
65,0:0:4.33,Above Screen,-0.31304395904775395,-0.6798245559672738
66,0:0:4.40,Above Screen,-0.28341840943455554,-0.6641845689326826
67,0:0:4.47,Above Screen,-0.27704847743569444,-0.5673803926995845
68,0:0:4.53,Above Screen,-0.15347371750044453,-0.4725755422974023
69,0:0:4.60,Above Screen,0.09932272082213812,-0.3005341454342341
70,0:0:4.67,Above Screen,0.3896603870194613,-0.2561378149861486
71,0:0:4.73,Patient,0.6744942753358744,-0.1478246474822474
72,0:0:4.80,Patient,0.8901479830224649,0.13730785469264206
73,0:0:4.87,Patient,0.8104400194999659,0.07369460771999213
74,0:0:4.93,Patient,0.7753889952651843,-0.11099060483888612
75,0:0:5.00,Patient,0.6243161925049899,-0.19321508504894125
76,0:0:5.07,Above Screen,0.3929692875398296,-0.25940839716162417
77,0:0:5.13,Above Screen,0.18116631165323835,-0.30459689830638176
78,0:0:5.20,Above Screen,0.06990966454422702,-0.3735949022349361
79,0:0:5.27,Above Screen,-0.02841982917358445,-0.40479567758319296
80,0:0:5.33,Above Screen,-0.11277369567529465,-0.4634452467521136
81,0:0:5.40,Above Screen,-0.13524612190268315,-0.4505595725865912
82,0:0:5.47,Above Screen,-0.12247881017401875,-0.4423502801563512
83,0:0:5.53,Above Screen,-0.0962265124613806,-0.44776769560938257
84,0:0:5.60,Above Screen,-0.09250828419479418,-0.4531913649926269
85,0:0:5.67,Above Screen,-0.07720829555944751,-0.461533081506139
86,0:0:5.73,Above Screen,-0.06548556284858392,-0.4681525952267795
87,0:0:5.80,Above Screen,-0.060881192346877014,-0.4542990088719244
88,0:0:5.87,Above Screen,-0.03571518953237045,-0.4426874189242128
89,0:0:5.93,Above Screen,-0.025356740088233697,-0.4558570865145273
90,0:0:6.00,Above Screen,-0.004138102268934489,-0.4476975755574364
91,0:0:6.07,Above Screen,-0.033254722491299224,-0.4581457654848061
92,0:0:6.13,Above Screen,-0.04081556765690235,-0.4640513789243375
93,0:0:6.20,Above Screen,-0.09399799120280967,-0.4613413774498348
94,0:0:6.27,Above Screen,-0.13263468495387445,-0.427282004330628
95,0:0:6.33,Above Screen,-0.09955422637170246,-0.4610533038009101
96,0:0:6.40,Above Screen,0.11161208174949132,-0.5638211364199678
97,0:0:6.47,Above Screen,0.4932936291273858,-0.7200066798562927
98,0:0:6.53,Patient,0.9687292719733304,-0.8241844556883009
99,0:0:6.60,Patient,1.3498540422666585,-0.8085237816223386
100,0:0:6.67,Patient,1.661816936138584,-0.8498022045114892
101,0:0:6.73,Patient,1.6934933589906105,-0.7240351844168971
102,0:0:6.80,Patient,1.650348067412574,-0.6127679086410516
103,0:0:6.87,Patient,1.5541810096357171,-0.4858365369066406
104,0:0:6.93,Patient,1.4868148928019145,-0.4044056748920472
