,Patient,Screen,Above Screen,Keyboard,Right Of Screen,Frame_total,Name,Patient_Percentage,Screen_Percentage,Above Screen_Percentage,Keyboard_Percentage,Right Of Screen_Percentage
0,5262,4097,1571,699,514,12143,D7_Presential-03-03-2022__08_12_36,0.4333360783990777,0.3373960306349337,0.1293749485300173,0.0575640286584863,0.0423289137774849
1,8298,3558,1674,654,1278,15462,D7_Presential-03-03-2022__08_27_04,0.5366705471478463,0.2301125339542103,0.1082654249126891,0.0422972448583624,0.0826542491268917
2,9820,5059,3348,158,806,19191,D7_Presential-03-03-2022__08_45_04,0.511698191860768,0.2636131519983326,0.1744567766140378,0.0082330258975561,0.0419988536293054
3,14296,6572,2199,105,1014,24186,D7_Presential-03-03-2022__09_08_23,0.5910857520879848,0.2717274456297031,0.0909203671545522,0.0043413545026048,0.041925080625155
4,2555,2352,1453,87,1055,7502,D7_Presential-03-03-2022__09_37_04,0.340575846440949,0.3135163956278325,0.1936816848840309,0.0115969074913356,0.1406291655558517
5,10053,5020,2973,161,672,18879,D7_Presential-03-03-2022__09_56_40,0.5324964245987606,0.2659039144022458,0.1574765612585412,0.0085279940674823,0.0355951056729699
6,6308,3302,1964,196,873,12643,D7_Presential-03-03-2022__10_19_17,0.4989322154551926,0.2611721901447441,0.1553428774816103,0.0155026496875741,0.0690500672308787
7,6555,5566,1377,602,944,15044,D7_Presential-03-03-2022__11_06_17,0.4357218824780643,0.3699813879287423,0.0915315075777718,0.0400159532039351,0.0627492688114863
8,12986,7411,2284,478,1643,24802,D7_Presential-03-03-2022__11_24_25,0.5235868075155229,0.2988065478590436,0.0920893476332553,0.0192726393032819,0.066244657688896
9,5644,6858,2542,368,1189,16601,D7_Presential-03-03-2022__11_53_38,0.3399795193060659,0.4131076441178242,0.1531233058249503,0.0221673393169086,0.0716221914342509
10,5508,3148,3247,84,1236,13223,D7_Presential-03-03-2022__12_48_20,0.4165469258110867,0.2380700294940633,0.2455569840429554,0.0063525674960296,0.0934734931558647
11,6770,4231,1871,566,1233,14671,D7_Presential-03-03-2022__13_09_02,0.4614545702406107,0.2883920659805057,0.1275305023515779,0.0385795105991411,0.0840433508281644
12,3674,2614,981,920,576,8765,D7_Presential-03-03-2022__13_44_12,0.4191671420422133,0.2982316029663434,0.1119224187107815,0.1049629207073588,0.0657159155733029
13,13742,4719,567,570,567,20165,D7_Presential-03-03-2022__15_18_26,0.6814778080833127,0.2340193404413588,0.0281180262831639,0.0282667989090007,0.0281180262831639
14,13136,5910,1908,1707,456,23117,D7_Presential-03-03-2022__16_23_35,0.5682398235065104,0.2556560107280356,0.0825366613314876,0.0738417614742397,0.0197257429597266
15,6904,6072,2293,888,768,16925,D7_Presential-03-03-2022__16_50_20,0.407917282127031,0.3587592319054652,0.1354800590841949,0.0524667651403249,0.0453766617429837
16,13466,15376,743,1245,1797,32627,D7_Presential-03-03-2022__17_46_43,0.4127256566647255,0.4712661292794311,0.0227725503417415,0.0381585803169154,0.0550770833971863
17,2860,4040,201,306,377,7784,D7_Presential-03-03-2022__18_24_04,0.3674203494347379,0.5190133607399794,0.0258221993833504,0.0393114080164439,0.0484326824254881
18,6693,3753,482,227,3167,14322,D7_Presential-03-03-2022__18_51_38,0.4673229995810641,0.2620444072056975,0.0336545175254852,0.0158497416561932,0.2211283340315598
19,4880,2137,278,156,1520,8971,D7_Presential-03-03-2022__19_14_39,0.5439750306543306,0.2382120164976034,0.030988741500390146,0.01738936573403188,0.16943484561364397
